affinity_group,category,created_time,data_disk_configurations,deployment_name,description,eula,icon_uri,image_family,is_premium,label,language,location,modified_time,name,os_disk_configuration,pricing_detail_link,privacy_uri,published_date,publisher_name,recommended_vm_size,role_name,service_name,show_in_gui,small_icon_uri
,Public,1801-01-01T00:00:00Z,(),,"Single click deployment of CDH 5.1 Evaluation for MR, HDFS and HIVE",http://www.gnu.org/copyleft/gpl.html,,CDH 5.1 Evaluation,False,CDH 5.1 Evaluation,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,1acf693f34c74e86a50be61cb631ddfe__ClouderaGolden-202406-699696,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135ca10>,,http://www.cloudera.com/content/cloudera/en/privacy-policy.html,2014-10-27T04:00:00Z,Cloudera,,,,False,
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cb50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cb90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cbd0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cc10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cc50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cc90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135ccd0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cd10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cd50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cd90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cdd0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135ce10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135ce50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135ce90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135ced0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135cf10>)",,HDP 2.1.5 with 16 data disks,,,,False,HDP 2.1.5 with 16 data disks,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,d570a118449e48fdbe814fb54b36b60e__hdp215-16d-vm-image,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135cad0>,,,,Hortonworks,,,,False,
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c790>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c750>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c710>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c6d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c690>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c650>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c610>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c5d0>)",,HDP 2.1.5 with 8 data disks,,,,False,HDP 2.1.5 with 8 data disks,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,d570a118449e48fdbe814fb54b36b60e__hdp215-8d-vm-image,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135cf90>,,,,Hortonworks,,,,False,
,Public,1801-01-01T00:00:00Z,(),,Hortonworks Sandbox with HDP 2.2,,,,False,Hortonworks Sandbox with HDP 2.2,,East Asia;Southeast Asia;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,d570a118449e48fdbe814fb54b36b60e__hwx_sandbox_hdp_2.2,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135c550>,,,,Hortonworks,,,,False,
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c410>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c3d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c390>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c350>)",,"DataStax takes the latest version of open source Apache Cassandra, certifies and prepares it for bullet-proof enterprise deployment.  We deliver commercial confidence in the form of training and support, development tools and drivers, and professional implementation services to ensure that you have everything you need to successfully deploy Cassandra in support of your mainstream business applications.",http://www.datastax.com/developer-license-terms,,DataStax Enterprise,False,DataStax Enterprise 4.5.1 Data Node,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,eed8e6be226e414095ba1fbf8fc3931f__dse-node-20141010,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135c490>,,http://www.datastax.com/privacy,2014-10-27T05:00:00Z,DataStax,,,,False,
,Public,1801-01-01T00:00:00Z,(),,"DataStax takes the latest version of open source Apache Cassandra, certifies and prepares it for bullet-proof enterprise deployment.  We deliver commercial confidence in the form of training and support, development tools and drivers, and professional implementation services to ensure that you have everything you need to successfully deploy Cassandra in support of your mainstream business applications.",http://www.datastax.com/developer-license-terms,,DataStax Enterprise,False,DataStax Enterprise 4.5.1 Opscenter,,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,eed8e6be226e414095ba1fbf8fc3931f__dse-opscenter-20141010,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135c2d0>,,http://www.datastax.com/privacy,2014-10-27T05:00:00Z,DataStax,,,,False,
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c190>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c150>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c0d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c110>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c810>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f638135c7d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698050>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698090>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806980d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698110>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698150>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698190>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806981d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698210>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698250>)",,"This Enterprise Edition image is optimized for data warehousing workloads and is intended for VM sizes including A4, A7, A8, A9, D4, D13, D14, G3, G4 and G5. Once deployed, the VM comes with Windows Storage Spaces pre-configured. It has been pre-configured for Windows Azure, including enabling CEIP which can be disabled, for more info see  [here|http://msdn.microsoft.com/en-us/library/windowsazure/dn133151.aspx#database|_blank].This image supports data sizes of up to 1.25TB for A7, 2TB for A8 and A9, respectively, using rowstore indexes.",http://go.microsoft.com/fwlink/?LinkID=285687,SqlServer2012_100.png,SQL Server 2012 SP2 Enterprise Optimized for DataWarehousing Workloads on Windows Server 2012,True,SQL Server 2012 SP2 Enterprise Optimized for DataWarehousing Workloads on Windows Server 2012,English,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012-SP2-11.0.5537.0-DW-ENU-Win2012-cy14su09,<azure.servicemanagement.OSDiskConfiguration object at 0x7f638135c210>,http://go.microsoft.com/fwlink/?LinkId=271259,http://www.microsoft.com/en-us/download/details.aspx?id=29067,2014-09-11T07:00:00Z,Microsoft SQL Server Group,,,,True,SqlServer2012_45.png
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698350>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698390>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806983d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698410>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698450>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698490>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806984d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698510>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698550>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698590>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806985d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698610>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698650>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698690>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806986d0>)",,"This Enterprise Edition image is optimized for OLTP workloads and is intended for VM sizes including A4, A7, A8, A9, D4, D13, D14, G3, G4 and G5. Once deployed, the VM comes with Windows Storage Spaces pre-configured. This image has been pre-configured for Windows Azure, including enabling CEIP which can be disabled, for more info see [here|http://msdn.microsoft.com/en-us/library/windowsazure/dn133151.aspx#database|_blank].",http://go.microsoft.com/fwlink/?LinkID=285687,SqlServer2012_100.png,SQL Server 2012 SP2 Enterprise Optimized for Transactional Workloads on Windows Server 2012,True,SQL Server 2012 SP2 Enterprise Optimized for Transactional Workloads on Windows Server 2012,English,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012-SP2-11.0.5537.0-OLTP-ENU-Win2012-cy14su09,<azure.servicemanagement.OSDiskConfiguration object at 0x7f63806982d0>,http://go.microsoft.com/fwlink/?LinkId=271259,http://www.microsoft.com/en-us/download/details.aspx?id=29067,2014-09-11T07:00:00Z,Microsoft SQL Server Group,,,,True,SqlServer2012_45.png
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f63806987d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698810>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698850>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698890>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806988d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698910>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698950>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698990>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f63806989d0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698a10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698a50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698a90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698ad0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698b10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698b50>)",,"This Enterprise Edition image is optimized for data warehousing workloads and is intended for VM sizes including A4, A7, A8, A9, D4, D13, D14, G3, G4 and G5. Once deployed, the VM comes with Windows Storage Spaces pre-configured. It has been pre-configured for Windows Azure, including enabling CEIP which can be disabled, for more info see [here|http://msdn.microsoft.com/en-us/library/windowsazure/dn133151.aspx#database|_blank].This image supports data sizes of up to 1.25TB for A7, 2TB for A8 and A9, respectively, using rowstore indexes.",http://go.microsoft.com/fwlink/?LinkID=285687,SqlServer2012_100.png,SQL Server 2012 SP2 Enterprise Optimized for DataWarehousing Workloads on Windows Server 2012 R2,True,SQL Server 2012 SP2 Enterprise Optimized for DataWarehousing Workloads on Windows Server 2012 R2,English,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012-SP2-11.0.5548.0-DW-ENU-Win2012R2-cy14su11,<azure.servicemanagement.OSDiskConfiguration object at 0x7f6380698750>,http://go.microsoft.com/fwlink/?LinkId=271259,http://www.microsoft.com/en-us/download/details.aspx?id=29067,2014-12-01T00:00:00Z,Microsoft SQL Server Group,,,,True,SqlServer2012_45.png
,Public,1801-01-01T00:00:00Z,"(<azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698c50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698c90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698cd0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698d10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698d50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698d90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698dd0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698e10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698e50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698e90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698ed0>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698f10>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698f50>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698f90>, <azure.servicemanagement.DataDiskConfiguration object at 0x7f6380698fd0>)",,"This Enterprise Edition image is optimized for OLTP workloads and is intended for VM sizes including A4, A7, A8, A9, D4, D13, D14, G3, G4 and G5. Once deployed, the VM comes with Windows Storage Spaces pre-configured. This image has been pre-configured for Windows Azure, including enabling CEIP which can be disabled, for more info see [here|http://msdn.microsoft.com/en-us/library/windowsazure/dn133151.aspx#database|_blank].",http://go.microsoft.com/fwlink/?LinkID=285687,SqlServer2012_100.png,SQL Server 2012 SP2 Enterprise Optimized for Transactional Workloads on Windows Server 2012 R2,True,SQL Server 2012 SP2 Enterprise Optimized for Transactional Workloads on Windows Server 2012 R2,English,East Asia;Southeast Asia;Australia East;Australia Southeast;Brazil South;North Europe;West Europe;Japan East;Japan West;Central US;East US;East US 2;North Central US;South Central US;West US,1801-01-01T00:00:00Z,fb83b3509582419d99629ce476bcb5c8__SQL-Server-2012-SP2-11.0.5548.0-OLTP-ENU-Win2012R2-cy14su11,<azure.servicemanagement.OSDiskConfiguration object at 0x7f6380698bd0>,http://go.microsoft.com/fwlink/?LinkId=271259,http://www.microsoft.com/en-us/download/details.aspx?id=29067,2014-12-01T00:00:00Z,Microsoft SQL Server Group,,,,True,SqlServer2012_45.png
